Date,Open,High,Low,Close,Volume,boll_mavg,boll_hband,boll_lband,boll_hband_ind,boll_lband_ind,boll_bandwidth,RSI,daily_return,ROC,MACD,on_balance_volume,avg_close,max_close,min_close,max_close_pct,min_close_pct,boll_hband_num,boll_lband_num,pct_change,DX-Y.NYB_Open,DX-Y.NYB_High,DX-Y.NYB_Low,DX-Y.NYB_Close,DX-Y.NYB_Volume,DX-Y.NYB_boll_mavg,DX-Y.NYB_boll_hband,DX-Y.NYB_boll_lband,DX-Y.NYB_boll_hband_ind,DX-Y.NYB_boll_lband_ind,DX-Y.NYB_boll_bandwidth,DX-Y.NYB_RSI,DX-Y.NYB_daily_return,DX-Y.NYB_ROC,DX-Y.NYB_MACD,DX-Y.NYB_on_balance_volume,DX-Y.NYB_avg_close,DX-Y.NYB_max_close,DX-Y.NYB_min_close,DX-Y.NYB_max_close_pct,DX-Y.NYB_min_close_pct,DX-Y.NYB_boll_hband_num,DX-Y.NYB_boll_lband_num,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,BTC-USD_boll_mavg,BTC-USD_boll_hband,BTC-USD_boll_lband,BTC-USD_boll_hband_ind,BTC-USD_boll_lband_ind,BTC-USD_boll_bandwidth,BTC-USD_RSI,BTC-USD_daily_return,BTC-USD_ROC,BTC-USD_MACD,BTC-USD_on_balance_volume,BTC-USD_avg_close,BTC-USD_max_close,BTC-USD_min_close,BTC-USD_max_close_pct,BTC-USD_min_close_pct,BTC-USD_boll_hband_num,BTC-USD_boll_lband_num,day
2020-03-16,1569.0999755859375,1569.0999755859375,1452.0999755859375,1485.9000244140625,193,1623.8900024414063,1725.1601787760364,1522.6198261067761,0.0,1.0,12.472541389179986,23.11801525076835,-1.9660835071461547,-9.396339974752287,-16.88023234628122,1560859,1623.8900024414063,1674.5,1485.9000244140625,1.0311659025442026,0.9150250461423586,0.0,2.0,0.8916826708140099,98.47000122070312,98.47000122070312,97.44999694824219,98.08999633789062,0.0,97.93850021362304,100.61761406173153,95.25938636551456,0.0,0.0,5.4710126094739335,53.13463680815054,-0.6683581388449378,-0.3555527172238305,-0.3374029889445751,0.0,97.93850021362304,99.87000274658203,94.9000015258789,1.0197215857782793,0.9689754419240996,0.0,0.0,5385.2294921875,5385.2294921875,4575.35791015625,5014.47998046875,45368026429,7747.8988037109375,10749.271645742541,4746.525961679335,0.0,0.0,77.47578841876624,20.145077317266427,-7.006915676163484,-42.72599619959997,-968.433865929771,-359360501166,7747.8988037109375,9122.5458984375,4970.7880859375,1.1774219216787087,0.6415659537985562,0.0,4.0,20
2020-03-17,1469.300048828125,1537.699951171875,1469.300048828125,1524.9000244140625,122,1619.7600036621093,1729.7304440956368,1509.7895632285818,0.0,0.0,13.578609199498171,34.43146383030725,2.6246718728858642,-2.506230534092941,-21.014301916139402,1560981,1619.7600036621093,1674.5,1485.9000244140625,1.0337951278054336,0.9173581401285356,0.0,2.0,0.9126765500657038,98.13999938964844,99.83000183105469,97.9800033569336,99.58000183105469,0.0,97.94450035095215,100.63771789763152,95.25128280427279,0.0,0.0,5.4994768200952535,63.35305205139365,1.519018808025474,1.4776364192614033,-0.12130093998943892,0.0,97.94450035095215,99.87000274658203,94.9000015258789,1.0196591170380211,0.9689160819222694,0.0,0.0,5002.578125,5371.3486328125,4981.9091796875,5225.62939453125,38622642935,7568.154150390625,10717.959012248613,4418.349288532636,0.0,0.0,83.23839074275236,24.34529391975387,4.210793838741411,-42.4411721078543,-976.8396773806271,-320737858231,7568.154150390625,9122.5458984375,4970.7880859375,1.205385846688475,0.6568032293159537,0.0,4.0,21
2020-03-18,1537.5,1542.0,1477.300048828125,1477.300048828125,333,1612.7950073242187,1739.1137456965143,1486.476268951923,0.0,1.0,15.664574579985905,28.703449161393976,-3.1215145139910194,-7.222256890881579,-27.831913173715293,1560648,1612.7950073242187,1674.5,1477.300048828125,1.0382596625086011,0.9159874888744275,0.0,3.0,0.8822335316978949,99.37999725341797,101.73999786376953,99.1500015258789,101.16000366210938,0.0,98.02250061035156,100.98034477350916,95.06465644719395,1.0,0.0,6.03503102806019,70.84331297110793,1.5866657983550692,3.9030433729822582,0.1775678511464207,0.0,98.02250061035156,101.16000366210938,94.9000015258789,1.0320079882906648,0.96814507827254,1.0,0.0,5227.11376953125,5331.833984375,5069.3359375,5238.4384765625,37878801016,7390.8513671875,10644.333192842183,4137.369541532816,0.0,0.0,88.0407862103377,24.612566599763753,0.24512036855608432,-42.57701156143556,-965.038176982137,-282859057215,7390.8513671875,9122.5458984375,4970.7880859375,1.2343024430092113,0.6725596063270683,0.0,4.0,22
2020-03-19,1481.5,1491.5999755859375,1471.0,1478.5999755859375,262,1604.4950073242187,1742.6261543236928,1466.3638603247446,0.0,0.0,17.218021417197484,29.0615455989346,0.08799341466505517,-9.956762829964697,-32.28423065074708,1560910,1604.4950073242187,1674.5,1477.300048828125,1.0436305456584294,0.9207258620840373,0.0,3.0,0.8912060739822183,100.79000091552734,102.83999633789062,100.7699966430664,102.76000213623047,0.0,98.16700057983398,101.69849494365076,94.6355062160172,1.0,0.0,7.194870665208519,76.29487393531215,1.5816512615651313,5.774575936426687,0.5342616232765778,0.0,98.16700057983398,102.76000213623047,94.9000015258789,1.0467876325981993,0.9667199870154105,2.0,0.0,5245.41650390625,6329.73583984375,5236.96875,6191.19287109375,51000731797,7266.788256835937,10504.5207744379,4029.055739233974,0.0,0.0,89.11041310598797,41.64926378629305,18.187755736638024,-30.513751243589155,-857.101825611162,-231858325418,7266.788256835937,9122.5458984375,4970.7880859375,1.2553752188741476,0.6840419605265685,0.0,4.0,23
2020-03-20,1483.5,1484.0,1483.5,1484.0,14,1595.3400085449218,1739.7868524308205,1450.8931646590231,0.0,0.0,18.10859667684832,30.66883582411046,0.3652119912907814,-9.572846135095858,-34.55353315156185,1560924,1595.3400085449218,1674.5,1477.300048828125,1.0496195112208577,0.9260095283233957,0.0,3.0,0.9041062373139356,102.94000244140625,102.98999786376953,101.08999633789062,102.81999969482422,0.0,98.34500045776367,102.3991176598017,94.29088325572565,1.0,0.0,8.244683884625442,76.47811647140077,0.05838610095998398,5.629755047361189,0.7942509726835993,0.0,98.34500045776367,102.81999969482422,94.9000015258789,1.0455030679366606,0.9649702687899798,3.0,0.0,6191.65380859375,6844.26171875,5865.78173828125,6198.7783203125,54442976102,7146.751733398438,10355.829019660054,3937.6744471368224,0.0,0.0,89.80519838865675,41.765682627103224,0.1225199953657663,-23.54847711789559,-761.7025512767186,-177415349316,7146.751733398438,9122.5458984375,4970.7880859375,1.2764604450726496,0.6955310987938546,0.0,4.0,24
2020-03-23,1505.300048828125,1567.0,1490.199951171875,1567.0,51,1582.5050048828125,1726.1603258003936,1438.8496839652314,0.0,0.0,18.155433376113596,51.31010212046814,4.774005454639685,-6.212595510811054,-27.90642349720906,2976940,1582.5050048828125,1674.5,1477.300048828125,1.0581325144838958,0.9335199852575012,0.0,3.0,1.0338457811445214,101.94999694824219,102.9800033569336,101.6500015258789,102.48999786376953,0.0,98.50500030517578,102.93117947114924,94.07882113920233,0.0,0.0,8.986709613239572,73.02815219418613,-0.3209510134547289,5.856226179319455,0.9443857702453897,0.0,98.50500030517578,102.81999969482422,94.9000015258789,1.043804876669004,0.9634028854562883,3.0,0.0,5831.37451171875,6443.9345703125,5785.00439453125,6416.31494140625,46491915999,6757.338037109375,9723.275021016249,3791.4010532025013,0.0,0.0,87.78418269498411,47.27742262455352,10.052048673231173,-18.898166338519925,-543.8687327633479,-213517488936,6757.338037109375,9122.5458984375,4970.7880859375,1.3500206513776694,0.7356133522756073,0.0,4.0,26
2020-03-24,1592.699951171875,1685.5,1592.699951171875,1660.199951171875,442,1583.5150024414063,1729.0448512378878,1437.9851536449248,0.0,0.0,18.380608781364092,64.63333222387433,5.947667592334072,-0.8539891805389669,-14.376187380404417,2977382,1583.5150024414063,1674.5,1477.300048828125,1.057457616390319,0.9329245675288691,0.0,3.0,1.1173025936428964,102.12999725341797,102.20999908447266,101.05000305175781,101.73999786376953,0.0,98.6435001373291,103.28721953731491,93.99978073734329,0.0,0.0,9.41515536963092,65.5599134867291,-0.7317787253707464,6.034394059074972,0.9742364512067923,0.0,98.6435001373291,102.81999969482422,94.9000015258789,1.0423393285080182,0.962050225243036,3.0,0.0,6436.642578125,6789.02294921875,6411.06640625,6734.8037109375,48221910672,6656.31591796875,9477.261602822902,3835.3702331145987,0.0,0.0,84.75996991786397,51.893295714228294,4.963733427047878,35.487644906658765,-438.0251312640139,-165295578264,6656.31591796875,9122.5458984375,4970.7880859375,1.3705097550750487,0.7467776690885177,0.0,4.0,27
2020-03-25,1676.5,1676.5,1631.0999755859375,1632.300048828125,476,1583.1300048828125,1728.0997574472638,1438.1602523183612,0.0,0.0,18.314320632838022,59.24144503422518,-1.6805145864542737,-1.6153292238068824,-6.526935957806472,2976906,1583.1300048828125,1674.5,1477.300048828125,1.057714776951594,0.933151443199056,0.0,3.0,1.070430862807108,101.5999984741211,101.91000366210938,100.83999633789062,101.05000305175781,0.0,98.74600028991699,103.5057206142319,93.98627996560208,0.0,0.0,9.640330363438386,59.35510981727329,-0.6781942466085211,6.480507299256283,0.9197240027190787,0.0,98.74600028991699,102.81999969482422,94.9000015258789,1.0412573612394023,0.9610515995306516,3.0,0.0,6738.716796875,6892.51123046875,6536.92626953125,6681.06298828125,44590107887,6536.430932617188,9130.02259741939,3942.839267814985,0.0,0.0,79.35803778970639,51.055256086140034,-0.7979552925792555,20.082940218730627,-356.74139997259863,-209885686151,6536.430932617188,9122.5458984375,4970.7880859375,1.3956463385722384,0.7604743532335001,0.0,4.0,28
2020-03-26,1660.5,1660.5,1650.0999755859375,1650.0999755859375,3,1587.4300048828125,1734.965885775515,1439.8941239901098,0.0,0.0,18.588017164711967,61.517192270276595,1.0904812978834055,0.5300323530201395,0.937688597396118,2976909,1587.4300048828125,1674.5,1477.300048828125,1.0548496594176542,0.9306237404383587,0.0,3.0,1.1169700947988777,100.95999908447266,101.0199966430664,99.23999786376953,99.41999816894531,0.0,98.79500007629395,103.56128388456268,94.0287162680252,0.0,0.0,9.648836083988057,47.54410341494274,-1.6130676235384334,3.1220769551935117,0.7223187111237195,0.0,98.79500007629395,102.81999969482422,94.9000015258789,1.0407409242919377,0.9605749425840665,3.0,0.0,6675.1708984375,6735.4638671875,6590.962890625,6716.4404296875,35319797641,6416.125659179687,8726.473435810538,4105.777882548836,0.0,0.0,72.01691174253695,51.6266555462218,0.5295181540467819,29.153220316703205,-287.3300039602718,-174565888510,6416.125659179687,8909.9541015625,4970.7880859375,1.388681359258424,0.7747335931343065,0.0,4.0,29
2020-03-27,1623.9000244140625,1623.9000244140625,1623.9000244140625,1623.9000244140625,100638,1589.0100036621093,1737.395041875305,1440.6249654489136,0.0,0.0,18.676413348087216,56.36975405188645,-1.587779623023844,2.177057479577245,4.178818558922558,2876271,1589.0100036621093,1674.5,1477.300048828125,1.0538007917765566,0.9296983942350696,0.0,3.0,1.0982686671359816,99.29000091552734,99.80999755859375,98.2699966430664,98.37000274658203,0.0,98.80700035095215,103.56773181888468,94.04626888301962,0.0,0.0,9.636425457756857,41.61684411545003,-1.0561209431718344,1.9272620134502167,0.47277114335503256,0.0,98.80700035095215,102.81999969482422,94.9000015258789,1.0406145245743552,0.9604582791583998,3.0,0.0,6719.38916015625,6793.83642578125,6466.70166015625,6469.79833984375,34585598366,6294.11787109375,8302.824753366787,4285.410988820713,0.0,0.0,63.82806688442195,47.3450504325987,-3.672214358569481,19.981833593653295,-252.32642414609745,-209151486876,6294.11787109375,8108.1162109375,4970.7880859375,1.288205333455016,0.7897513500289294,0.0,4.0,30
